Courses by Dept w Enrlmt,3774,,,,,,,,,,
Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term2,Title,Tot Enrl,Component,Instructor
16300,Active,8742,MA,231,12,4202,Spring 2020,Calculus III,31,DIS,"Adams,Rachel Anne"
16300,Active,8742,MA,231,14,4192,Spring 2019,Calculus III,27,DIS,"Adams,Rachel Anne"
16300,Active,8742,MA,231,18,4189,Fall 2018,Calculus III,26,DIS,"Adams,Rachel Anne"
16300,Active,8732,MA,131,71,4149,Fall 2014,Calculus I,24,DIS,"Al basheer,Aladeen"
16300,Active,8732,MA,131,72,4149,Fall 2014,Calculus I,23,DIS,"Al basheer,Aladeen"
16300,Active,8732,MA,131,73,4149,Fall 2014,Calculus I,28,DIS,"Al basheer,Aladeen"
16300,Active,8732,MA,131,74,4149,Fall 2014,Calculus I,21,DIS,"Al basheer,Aladeen"
16300,Active,8743,MA,232,1,4176,Summer 2017,Elementary Differential Eq,1,LEC,"Al basheer,Aladeen"
16300,Active,8743,MA,232,3,4172,Spring 2017,Elementary Differential Eq,60,LEC,"Al basheer,Aladeen"
16300,Active,8743,MA,232,31,4172,Spring 2017,Elementary Differential Eq,9,DIS,"Al basheer,Aladeen"
16300,Active,8743,MA,232,32,4172,Spring 2017,Elementary Differential Eq,27,DIS,"Al basheer,Aladeen"
16300,Active,8743,MA,232,33,4172,Spring 2017,Elementary Differential Eq,24,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,1,4159,Fall 2015,General Statistics,86,LEC,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,1,4162,Spring 2016,General Statistics,39,LEC,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,11,4159,Fall 2015,General Statistics,25,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,11,4162,Spring 2016,General Statistics,19,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,12,4159,Fall 2015,General Statistics,23,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,12,4162,Spring 2016,General Statistics,16,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,13,4159,Fall 2015,General Statistics,14,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,13,4162,Spring 2016,General Statistics,4,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,14,4159,Fall 2015,General Statistics,21,DIS,"Al basheer,Aladeen"
16300,Active,8747,STAT,282,15,4159,Fall 2015,General Statistics,3,DIS,"Al basheer,Aladeen"
16300,Active,8733,MA,132,1,4146,Summer 2014,Calculus II,1,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,31,4219,Fall 2021,Calculus I,14,DIS,"Al Momani,Abd Al Rahman Rasheed"
16300,Active,8732,MA,131,32,4219,Fall 2021,Calculus I,17,DIS,"Al Momani,Abd Al Rahman Rasheed"
16300,Active,8732,MA,131,33,4219,Fall 2021,Calculus I,17,DIS,"Al Momani,Abd Al Rahman Rasheed"
